,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
257,10,0.1,circles,logistic,0.625,0.07905694150420949,0.0,0.0,0.625,100.0
258,10,0.1,circles,logistic,0.625,0.07905694150420949,0.0,0.0,0.625,1000.0
259,10,0.1,circles,svm,0.65,0.05,0.0,0.0,0.65,0.001
260,10,0.1,circles,svm,0.65,0.05,0.0,0.0,0.65,0.005
261,10,0.1,circles,svm,0.65,0.05,0.0,0.0,0.65,0.01
262,10,0.1,circles,svm,0.675,0.06123724356957946,0.0,0.0,0.675,0.05
263,10,0.1,circles,svm,0.675,0.06123724356957946,0.0,0.0,0.675,0.1
264,10,0.1,circles,svm,0.675,0.06123724356957946,0.0,0.0,0.675,0.5
265,10,0.1,circles,svm,0.675,0.06123724356957946,0.0,0.0,0.675,1.0
266,10,0.1,circles,svm,0.85,0.18371173070873836,0.0,0.0,0.85,5.0
267,10,0.1,circles,svm,0.9,0.1224744871391589,0.0,0.0,0.9,10.0
268,10,0.1,circles,svm,1.0,0.0,0.0,0.0,1.0,50.0
269,10,0.1,circles,svm,1.0,0.0,0.0,0.0,1.0,1000.0
270,10,0.1,moons,logistic,0.7,0.1,0.3,0.39999999999999997,0.39999999999999997,0.001
271,10,0.1,moons,logistic,0.725,0.09354143466934853,0.3,0.39999999999999997,0.425,0.01
272,10,0.1,moons,logistic,0.725,0.09354143466934853,0.4,0.48989794855663565,0.32499999999999996,0.1
273,10,0.1,moons,logistic,0.8,0.12747548783981963,0.7,0.4,0.10000000000000009,1.0
274,10,0.1,moons,logistic,0.8,0.1,0.7,0.4,0.10000000000000009,10.0
275,10,0.1,moons,logistic,0.8,0.1,0.7,0.4,0.10000000000000009,100.0
276,10,0.1,moons,logistic,0.8,0.1,0.7,0.4,0.10000000000000009,1000.0
277,10,0.1,moons,svm,0.675,0.1,0.4,0.48989794855663565,0.275,0.001
278,10,0.1,moons,svm,0.675,0.1,0.4,0.48989794855663565,0.275,0.005
279,10,0.1,moons,svm,0.675,0.1,0.4,0.48989794855663565,0.275,0.01
280,10,0.1,moons,svm,0.675,0.1,0.4,0.48989794855663565,0.275,0.05
281,10,0.1,moons,svm,0.725,0.09354143466934853,0.4,0.48989794855663565,0.32499999999999996,0.1
282,10,0.1,moons,svm,0.8,0.12747548783981963,0.3,0.39999999999999997,0.5,0.5
