,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TRE_VAR,TESTE_STD,TESTE_VAR,E_DIFF,model_param
176,5,0.4,moons,svm,0.5,0.0,0.1,,0.447213595499958,,0.4,5.0
177,5,0.4,moons,svm,0.5,0.0,0.1,,0.447213595499958,,0.4,10.0
178,5,0.4,moons,svm,0.5,0.0,0.1,,0.447213595499958,,0.4,50.0
179,5,0.4,moons,svm,0.5,0.0,0.1,,0.447213595499958,,0.4,1000.0
180,5,0.5,circles,logistic,0.325,0.13693063937629152,0.2,0.01875,0.5477225575051661,0.3,0.125,0.001
181,5,0.5,circles,logistic,0.325,0.13693063937629152,0.2,0.01875,0.5477225575051661,0.3,0.125,0.01
182,5,0.5,circles,logistic,0.325,0.13693063937629152,0.2,0.01875,0.5477225575051661,0.3,0.125,0.1
183,5,0.5,circles,logistic,0.325,0.13693063937629152,0.1,0.01875,0.447213595499958,0.20000000000000004,0.225,1.0
184,5,0.5,circles,logistic,0.35,0.2091650066335189,0.1,0.04375,0.447213595499958,0.20000000000000004,0.24999999999999997,10.0
185,5,0.5,circles,logistic,0.4,0.2091650066335189,0.1,0.04375,0.447213595499958,0.20000000000000004,0.30000000000000004,100.0
186,5,0.5,circles,logistic,0.4,0.2091650066335189,0.1,0.04375,0.447213595499958,0.20000000000000004,0.30000000000000004,1000.0
187,5,0.5,circles,svm,0.325,0.13693063937629152,0.2,,0.5477225575051661,,0.125,0.001
188,5,0.5,circles,svm,0.325,0.13693063937629152,0.2,,0.5477225575051661,,0.125,0.005
189,5,0.5,circles,svm,0.325,0.13693063937629152,0.2,,0.5477225575051661,,0.125,0.01
190,5,0.5,circles,svm,0.35,0.11180339887498948,0.2,,0.5477225575051661,,0.14999999999999997,0.05
191,5,0.5,circles,svm,0.35,0.11180339887498948,0.2,,0.5477225575051661,,0.14999999999999997,0.1
192,5,0.5,circles,svm,0.375,0.0,0.1,,0.447213595499958,,0.275,0.5
193,5,0.5,circles,svm,0.4,0.11180339887498948,0.1,,0.447213595499958,,0.30000000000000004,1.0
